Vernia Jeanlouis,51.514209,-0.137001,0,3372921,5,2,4,5,1,
Dallas Sorhaindo,51.495594,-0.12792,1,6827375,2,3,4,5,1,
Tiana Kha,51.511141,-0.124444,0,3262865,2,2,4,5,1,
Ocie Cicciarelli,51.59386,-0.071604,0,5423936,1,2,5,5,1,
Robyn Zwanzig,51.564059,-0.125441,1,1784948,1,2,5,5,1,
Lynna Tease,51.449413,0.091988,1,8874279,5,0,4,5,1,
Gerardo Greenwalt,51.359515,-0.181419,1,8853045,0,2,4,5,1,
Porsche Lejune,51.509853,-0.307615,0,8027166,2,2,5,5,1,
Fran Bendixen,51.513878,-0.20393,0,5204650,1,3,4,5,1,
Carol Dismuke,51.518904,-0.156369,0,3386107,1,2,4,5,1,
Charlyn Hooper,51.526268,-0.195629,1,5973724,3,3,5,5,1,
Jeremiah Yuill,51.602857,0.054281,1,8486414,5,0,5,5,1,
Madie Rzeczycki,51.487975,-0.139093,1,8006068,1,2,5,5,1,
Tamica Warens,51.446038,-0.051359,0,6242918,5,1,4,5,1,
Marilyn Pegram,51.481026,-0.135804,1,8139169,0,2,4,5,1,
Louanne Lorts,51.448231,-0.191526,1,9020919,3,3,4,5,1,
Marianela Hych,51.550687,0.009321,1,9970632,3,2,4,5,1,
Britney Toleston,51.654155,-0.093637,1,1592217,4,2,5,5,1,
Lissette Cereghino,51.416374,-0.194696,0,6176027,0,3,5,5,1,
Wally Grosse,51.544145,-0.170145,0,8678374,5,3,4,5,1,
Song Nonroe,51.544116,-0.297186,1,6481575,2,2,4,5,1,
Chanda Kobashigawa,51.55615,-0.138692,0,7067371,5,3,4,5,1,
Alethea Schlicht,51.551063,-0.333852,1,9192269,2,1,4,5,1,
Kecia Pleva,51.541708,-0.155764,1,4373694,3,2,5,5,1,
Aletha Alzaga,51.591641,0.225523,0,7799026,5,0,5,5,1,
Branda Granier,51.414926,-0.364332,1,7329595,3,2,5,5,1,
Maisha Zuelke,51.580125,-0.009472,0,7022726,4,2,4,5,1,
Irving Goates,51.651916,-0.077106,1,7246986,2,3,4,5,1,
Tammera Galdon,51.426347,0.033149,0,8191137,2,0,5,5,1,
Mathilda Burgraff,51.546773,-0.370915,0,3314313,3,3,4,5,1,
Silas Clayburn,51.438636,-0.00268,0,7957746,1,0,4,5,1,
Jarod Lohnes,51.462742,0.026877,0,5685188,5,3,4,5,1,
Nicola Zastrow,51.544136,-0.200316,0,8451029,0,1,4,5,1,
Edwardo Grays,51.418931,-0.083319,1,7854062,2,1,4,5,1,
Shawn Kveton,51.550017,-0.198569,1,8982375,5,0,5,5,1,
Ulysses Plathe,51.516327,-0.123769,1,7478387,2,2,4,5,1,
Gwyneth Toplistky,51.588022,-0.221766,1,3883065,1,1,5,5,1,
Bernarda Nuno,51.51836,-0.117027,0,6346492,3,2,5,5,1,
Lucia Bartolomucci,51.515175,-0.338923,0,8436331,1,2,4,5,1,
Chas Went,51.568665,0.109103,0,6617635,4,3,4,5,1,
Frieda Torguson,51.486897,-0.183875,1,1713270,4,1,5,5,1,
Eldon Maner,51.554462,0.078556,0,7588953,3,0,5,5,1,
